#Time frame = 0.0 ps; Number of reference = 113000 atoms; Number of chains = 235
#Atomic index    1.5*max_eigval    Number of unit vectors
512     0.124     73
513     0.104     68
514     0.101     67
515     0.068     73
516     0.081     64
517     0.127     68
518     0.115     63
519     0.159     66
520     0.204     67
521     0.182     65
522     0.184     67
523     0.209     68
524     0.235     64
525     0.247     70
526     0.223     70
527     0.224     71
528     0.191     69
529     0.204     66
530     0.135     65
531     0.129     63
532     0.124     61
533     0.133     66
534     0.080     64
535     0.105     64
536     0.090     60
537     0.109     64
538     0.115     65
539     0.174     66
540     0.118     67
541     0.163     62
542     0.216     62
543     0.228     60
544     0.213     61
545     0.151     66
546     0.150     63
547     0.086     61
548     0.071     59
549     0.075     60
550     0.043     60
551     0.054     64
552     0.085     68
553     0.069     68
554     0.090     70
555     0.077     68
556     0.107     67
557     0.104     66
558     0.127     66
559     0.147     70
560     0.120     76
561     0.146     72
562     0.123     72
563     0.099     73
564     0.146     62
565     0.163     63
566     0.211     62
567     0.190     65
568     0.173     64
569     0.159     64
570     0.204     63
571     0.169     65
572     0.168     65
573     0.156     69
574     0.153     65
575     0.113     69
576     0.147     64
577     0.138     60
578     0.094     61
579     0.114     57
580     0.116     61
581     0.144     59
582     0.170     53
583     0.172     56
584     0.165     56
585     0.173     57
586     0.157     58
587     0.150     64
588     0.159     63
589     0.164     66
590     0.194     61
591     0.179     62
592     0.145     70
593     0.114     68
594     0.130     71
595     0.071     64
596     0.128     66
597     0.085     64
598     0.108     61
599     0.107     67
600     0.127     64
601     0.146     65
602     0.117     59
603     0.157     56
604     0.149     68
605     0.200     68
606     0.195     66
607     0.223     66
608     0.247     64
609     0.257     70
610     0.311     70
611     0.362     75
612     0.447     69
613     0.460     81
614     0.513     77
615     0.530     79
616     0.569     82
617     0.652     78
618     0.643     85
619     0.744     82
620     0.792     88
621     0.812     85
622     0.836     92
623     0.851     87
624     0.883     91
625     0.899     87
626     0.878     91
627     0.892     85
628     0.861     90
629     0.889     89
630     0.844     92
631     0.882     88
632     0.851     89
633     0.870     89
634     0.836     89
635     0.837     88
636     0.833     85
637     0.853     84
638     0.800     81
639     0.817     81
640     0.729     80
641     0.624     79
642     0.553     79
643     0.440     72
644     0.395     75
645     0.297     74
646     0.349     72
647     0.256     74
648     0.330     71
649     0.301     72
650     0.259     74
651     0.261     69
652     0.158     67
653     0.206     72
654     0.170     75
655     0.098     70
656     0.177     67
657     0.159     74
658     0.199     70
659     0.141     71
660     0.171     66
661     0.157     70
662     0.160     68
663     0.136     67
664     0.121     69
665     0.134     73
666     0.123     70
667     0.175     69
668     0.176     73
669     0.232     69
670     0.290     72
671     0.341     77
672     0.437     74
673     0.421     75
674     0.374     69
675     0.310     71
676     0.224     66
677     0.268     71
678     0.274     67
679     0.225     61
680     0.169     61
681     0.110     67
682     0.108     63
683     0.107     63
684     0.127     64
685     0.139     68
686     0.119     65
687     0.113     64
688     0.136     68
689     0.114     69
690     0.100     69
691     0.088     68
692     0.105     62
693     0.066     66
694     0.082     62
695     0.098     66
696     0.089     66
697     0.069     68
698     0.059     66
699     0.085     71
700     0.129     60
701     0.112     64
702     0.124     65
703     0.197     68
704     0.151     71
705     0.107     77
706     0.094     75
707     0.087     73
708     0.081     75
709     0.126     71
710     0.096     69
711     0.091     69
712     0.098     68
713     0.093     69
714     0.110     63
715     0.095     58
716     0.089     63
717     0.070     64
718     0.127     62
719     0.093     64
720     0.171     60
721     0.123     63
722     0.145     66
723     0.163     64
724     0.141     63
725     0.142     59
726     0.148     60
727     0.199     67
728     0.214     66
729     0.228     66
