#Time frame = 0.0 ps; Number of reference = 113000 atoms; Number of chains = 235
#Atomic index    1.5*max_eigval    Number of unit vectors
637     0.893     69
638     0.830     66
639     0.842     68
640     0.738     67
641     0.622     68
642     0.541     68
643     0.400     59
644     0.376     63
645     0.264     60
646     0.306     56
647     0.218     55
648     0.292     49
649     0.276     47
650     0.228     50
651     0.239     47
652     0.150     50
653     0.212     55
654     0.174     61
655     0.108     59
656     0.177     58
657     0.149     65
658     0.193     61
659     0.123     61
660     0.171     54
661     0.146     59
662     0.158     55
663     0.163     51
664     0.166     51
665     0.185     50
666     0.153     47
667     0.196     47
668     0.184     51
669     0.224     48
670     0.281     51
671     0.354     58
672     0.444     54
673     0.429     57
674     0.412     49
675     0.314     51
676     0.228     46
677     0.265     50
678     0.280     46
679     0.205     37
680     0.199     34
681     0.132     39
682     0.147     38
683     0.129     44
684     0.140     41
685     0.137     45
686     0.121     43
687     0.100     41
688     0.121     47
689     0.102     48
690     0.131     48
691     0.148     47
692     0.165     44
693     0.155     46
694     0.116     45
695     0.147     51
696     0.157     51
697     0.150     49
698     0.137     46
699     0.149     49
700     0.238     39
701     0.211     43
702     0.209     45
703     0.320     48
704     0.237     52
705     0.181     59
706     0.152     58
707     0.115     57
708     0.087     52
709     0.102     47
710     0.125     46
711     0.084     44
712     0.109     40
713     0.134     42
714     0.159     37
715     0.129     33
716     0.087     38
717     0.112     39
718     0.196     39
719     0.110     42
720     0.225     41
721     0.171     42
722     0.166     50
723     0.167     48
724     0.155     51
725     0.160     46
726     0.176     46
727     0.204     52
728     0.230     49
729     0.255     49
730     0.238     52
731     0.235     49
732     0.265     48
733     0.230     46
734     0.185     57
735     0.129     62
736     0.146     61
737     0.151     60
738     0.146     61
739     0.145     61
740     0.164     58
741     0.154     61
742     0.189     59
743     0.209     57
744     0.159     60
745     0.183     50
746     0.204     46
747     0.222     42
748     0.236     43
749     0.207     45
750     0.177     45
751     0.217     49
752     0.201     50
753     0.249     56
754     0.271     58
755     0.292     55
756     0.287     62
757     0.438     59
758     0.432     57
759     0.517     58
760     0.582     54
761     0.592     55
762     0.622     53
763     0.660     58
764     0.650     56
765     0.679     58
766     0.640     64
767     0.703     66
768     0.685     62
769     0.706     63
770     0.694     58
771     0.608     66
772     0.509     65
773     0.528     65
774     0.532     61
775     0.481     64
776     0.426     62
777     0.413     61
778     0.452     57
779     0.421     57
780     0.421     57
781     0.381     59
782     0.349     59
783     0.287     66
784     0.278     61
785     0.213     63
786     0.227     64
787     0.172     59
788     0.203     59
789     0.118     61
790     0.163     62
791     0.205     59
792     0.200     63
793     0.178     68
794     0.173     66
795     0.142     68
796     0.132     64
797     0.133     65
798     0.105     64
799     0.083     66
800     0.497     74
801     0.553     73
802     0.473     79
803     0.570     72
804     0.539     72
805     0.597     73
806     0.577     71
807     0.667     70
808     0.675     67
809     0.736     71
810     0.679     67
811     0.720     72
812     0.614     70
813     0.679     66
814     0.550     69
815     0.605     63
816     0.552     63
817     0.583     62
818     0.514     59
819     0.486     57
820     0.364     54
821     0.370     52
822     0.404     56
823     0.325     52
824     0.317     52
825     0.364     57
826     0.357     57
827     0.306     52
828     0.288     53
829     0.245     48
830     0.274     51
831     0.221     54
832     0.182     59
833     0.151     59
834     0.106     60
835     0.159     59
836     0.173     62
837     0.196     65
838     0.157     66
839     0.212     61
840     0.268     59
841     0.218     63
842     0.261     68
843     0.266     65
844     0.335     60
845     0.357     61
846     0.415     62
847     0.385     68
848     0.499     66
849     0.435     64
850     0.499     66
851     0.420     72
852     0.427     67
853     0.351     69
854     0.483     70
855     0.441     70
856     0.419     64
857     0.376     63
858     0.384     61
859     0.320     61
860     0.264     63
861     0.242     61
862     0.285     60
863     0.290     63
864     0.277     64
865     0.225     62
866     0.215     62
867     0.216     65
868     0.177     66
869     0.152     67
870     0.071     63
871     0.061     58
872     0.054     61
873     0.040     60
874     0.064     62
875     0.121     62
876     0.127     62
877     0.171     55
878     0.090     60
879     0.087     66
880     0.094     61
881     0.086     61
882     0.105     56
883     0.071     56
884     0.089     56
885     0.117     58
886     0.149     53
887     0.129     53
888     0.127     53
889     0.153     53
890     0.047     51
891     0.056     50
892     0.092     55
893     0.139     55
894     0.146     48
895     0.175     55
896     0.159     62
897     0.183     61
898     0.172     62
899     0.222     57
900     0.311     52
901     0.427     52
902     0.361     55
903     0.352     54
904     0.303     57
905     0.286     56
906     0.342     59
907     0.428     62
908     0.465     62
909     0.548     60
910     0.526     60
911     0.593     60
912     0.623     57
913     0.693     64
914     0.688     65
915     0.716     65
916     0.677     66
917     0.714     68
918     0.675     63
919     0.698     67
920     0.700     64
921     0.695     68
922     0.636     69
923     0.651     70
924     0.585     70
925     0.564     68
926     0.451     74
927     0.426     69
928     0.329     74
929     0.334     68
930     0.226     67
931     0.230     60
932     0.248     57
933     0.155     57
934     0.127     52
935     0.080     52
936     0.079     49
937     0.082     54
938     0.082     52
939     0.088     54
940     0.065     53
941     0.087     56
942     0.106     59
943     0.102     65
944     0.079     57
945     0.086     53
946     0.114     52
947     0.149     52
948     0.202     53
949     0.229     52
950     0.216     52
951     0.305     56
952     0.370     59
953     0.403     64
954     0.435     68
955     0.555     66
956     0.574     71
957     0.621     68
958     0.645     71
959     0.721     73
960     0.781     71
961     0.840     72
962     0.845     73
963     0.881     71
964     0.904     74
965     0.942     74
966     0.943     75
967     0.966     71
968     0.921     77
969     0.921     77
970     0.911     79
971     0.919     76
972     0.900     78
973     0.854     76
974     0.847     79
975     0.822     70
976     0.815     76
977     0.817     69
978     0.757     75
979     0.694     76
980     0.622     76
981     0.665     70
982     0.580     70
983     0.525     69
984     0.438     71
985     0.320     64
986     0.250     64
987     0.296     64
988     0.212     66
989     0.223     70
990     0.131     62
991     0.117     64
992     0.188     67
993     0.198     68
994     0.187     75
995     0.220     73
996     0.240     71
997     0.248     63
998     0.243     68
999     0.274     66
1000     0.415     70
1001     0.462     68
1002     0.556     68
1003     0.569     72
1004     0.630     75
1005     0.678     76
1006     0.744     80
1007     0.743     76
1008     0.765     78
1009     0.787     76
1010     0.756     81
1011     0.756     77
1012     0.774     78
1013     0.781     81
1014     0.795     77
1015     0.769     80
1016     0.777     80
1017     0.748     81
1018     0.727     80
1019     0.753     78
1020     0.720     79
1021     0.725     80
1022     0.700     76
1023     0.689     75
1024     0.573     79
1025     0.623     75
1026     0.549     72
1027     0.602     66
1028     0.517     67
1029     0.465     67
1030     0.355     66
1031     0.352     64
1032     0.417     62
1033     0.448     64
1034     0.443     64
1035     0.388     62
1036     0.260     58
1037     0.262     53
1038     0.219     54
1039     0.175     58
1040     0.215     58
1041     0.205     57
1042     0.174     62
1043     0.133     62
1044     0.153     64
1045     0.163     58
1046     0.135     55
1047     0.151     55
1048     0.172     57
1049     0.179     62
1050     0.119     62
1051     0.109     70
1052     0.092     67
1053     0.077     65
1054     0.103     56
1055     0.182     56
1056     0.230     58
1057     0.272     55
1058     0.309     62
1059     0.369     59
1060     0.414     63
1061     0.348     68
1062     0.364     63
1063     0.266     61
1064     0.251     58
1065     0.203     62
1066     0.140     61
1067     0.122     60
1068     0.101     62
1069     0.117     61
1070     0.050     63
1071     0.112     61
1072     0.109     58
1073     0.150     54
1074     0.153     58
1075     0.179     63
1076     0.155     65
1077     0.158     65
1078     0.131     56
1079     0.144     58
1080     0.101     60
1081     0.084     56
1082     0.109     56
1083     0.064     65
1084     0.091     63
1085     0.125     57
1086     0.128     61
1087     0.122     63
1088     0.174     56
1089     0.131     55
1090     0.143     56
1091     0.098     58
1092     0.102     65
1093     0.108     69
1094     0.104     64
1095     0.085     62
1096     0.166     61
1097     0.177     58
1098     0.198     62
1099     0.154     62
1100     0.180     62
1101     0.123     63
1102     0.177     64
1103     0.135     63
1104     0.140     70
1105     0.172     60
1106     0.187     65
1107     0.182     65
1108     0.175     61
1109     0.139     66
1110     0.134     63
1111     0.157     60
1112     0.181     61
1113     0.167     53
1114     0.215     55
1115     0.207     54
1116     0.176     53
1117     0.150     53
1118     0.148     52
1119     0.104     49
1120     0.061     52
1121     0.105     50
1122     0.106     50
1123     0.099     55
1124     0.142     53
1125     0.144     53
1126     0.101     60
1127     0.102     58
1128     0.102     56
1129     0.082     53
1130     0.075     57
1131     0.054     54
1132     0.114     57
1133     0.118     55
1134     0.121     55
1135     0.192     56
1136     0.155     60
1137     0.149     58
1138     0.193     62
1139     0.137     66
1140     0.174     63
1141     0.216     58
1142     0.200     60
1143     0.222     56
1144     0.228     57
1145     0.210     52
1146     0.208     54
1147     0.179     55
1148     0.157     56
1149     0.136     53
1150     0.134     59
1151     0.095     59
1152     0.139     58
1153     0.092     63
1154     0.070     60
1155     0.082     60
1156     0.081     56
1157     0.098     62
1158     0.087     64
1159     0.062     59
1160     0.084     58
1161     0.105     57
1162     0.107     62
1163     0.132     68
1164     0.165     63
